duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong,urgent,count,srv_count,serror_rate,srv_serror_rate,rerror_rate ,diff_srv_rate ,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,Unnamed: 26,Unnamed: 27,predict
0,tcp,other,OTH,1514,0,0,0,0,6247,6247,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6248,6248,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6249,6249,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6250,6250,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6251,6251,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6252,6252,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6253,6253,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6254,6254,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6255,6255,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6256,6256,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6257,6257,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6258,6258,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6259,6259,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6260,6260,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6261,6261,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6262,6262,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6263,6263,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6264,6264,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6265,6265,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6266,6266,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
